"";"order";"family";"genus"
"376";"Fagales";"Betulaceae";"Betula"
"377";"Fagales";"Betulaceae";"Betula"
"378";"Fagales";"Betulaceae";"Betula"
"379";"Fagales";"Betulaceae";"Betula"
"380";"Fagales";"Betulaceae";"Betula"
"381";"Fagales";"Betulaceae";"Betula"
"382";"Fagales";"Betulaceae";"Betula"
"383";"Fagales";"Betulaceae";"Betula"
"384";"Fagales";"Betulaceae";"Betula"
"385";"Fagales";"Betulaceae";"Betula"
"386";"Fagales";"Betulaceae";"Betula"
"387";"Fagales";"Betulaceae";"Betula"
"388";"Fagales";"Betulaceae";"Betula"
"389";"Fagales";"Betulaceae";"Betula"
"390";"Fagales";"Betulaceae";"Betula"
"391";"Fagales";"Betulaceae";"Betula"
"392";"Fagales";"Betulaceae";"Betula"
"393";"Fagales";"Betulaceae";"Betula"
"394";"Fagales";"Betulaceae";"Betula"
"395";"Fagales";"Betulaceae";"Betula"
"396";"Fagales";"Betulaceae";"Betula"
"397";"Fagales";"Betulaceae";"Betula"
"398";"Fagales";"Betulaceae";"Betula"
"399";"Hypnales";"Brachytheciaceae";"Brachythecium"
"400";"Hypnales";"Brachytheciaceae";"Brachythecium"
"401";"Poales";"Poaceae";"Bromus"
"402";"Poales";"Poaceae";"Bromus"
"403";"Poales";"Poaceae";"Bromus"
"404";"Poales";"Poaceae";"Bromus"
"405";"Poales";"Poaceae";"Bromus"
"406";"Ranunculales";"Ranunculaceae";"Callianthemum"
"407";"Ericales";"Ericaceae";"Calluna"
"408";"Ericales";"Ericaceae";"Calluna"
"409";"Ericales";"Ericaceae";"Calluna"
"410";"Ericales";"Ericaceae";"Calluna"
"411";"Asterales";"Campanulaceae";"Campanula"
"412";"Asterales";"Campanulaceae";"Campanula"
"413";"Asterales";"Campanulaceae";"Campanula"
"414";"Asterales";"Campanulaceae";"Campanula"
"415";"Asterales";"Campanulaceae";"Campanula"
"416";"Asterales";"Campanulaceae";"Campanula"
"417";"Brassicales";"Brassicaceae";"Capsella"
"418";"Brassicales";"Brassicaceae";"Cardamine"
"419";"Poales";"Cyperaceae";"Carex"
"420";"Poales";"Cyperaceae";"Carex"
"421";"Poales";"Cyperaceae";"Carex"
"422";"Poales";"Cyperaceae";"Carex"
"423";"Poales";"Cyperaceae";"Carex"
"424";"Poales";"Cyperaceae";"Carex"
"425";"Poales";"Cyperaceae";"Carex"
"426";"Poales";"Cyperaceae";"Carex"
"427";"Poales";"Cyperaceae";"Carex"
"428";"Poales";"Cyperaceae";"Carex"
"429";"Poales";"Cyperaceae";"Carex"
"430";"Poales";"Cyperaceae";"Carex"
"431";"Poales";"Cyperaceae";"Carex"
"432";"Poales";"Cyperaceae";"Carex"
"433";"Poales";"Cyperaceae";"Carex"
"434";"Poales";"Cyperaceae";"Carex"
"435";"Poales";"Cyperaceae";"Carex"
"436";"Poales";"Cyperaceae";"Carex"
"437";"Poales";"Cyperaceae";"Carex"
"438";"Poales";"Cyperaceae";"Carex"
"439";"Poales";"Cyperaceae";"Carex"
"440";"Poales";"Cyperaceae";"Carex"
"441";"Poales";"Cyperaceae";"Carex"
"442";"Poales";"Cyperaceae";"Carex"
"443";"Poales";"Cyperaceae";"Carex"
"444";"Poales";"Cyperaceae";"Carex"
"445";"Poales";"Cyperaceae";"Carex"
"446";"Poales";"Cyperaceae";"Carex"
"447";"Poales";"Cyperaceae";"Carex"
"448";"Poales";"Cyperaceae";"Carex"
"449";"Poales";"Cyperaceae";"Carex"
"450";"Poales";"Cyperaceae";"Carex"
"451";"Poales";"Cyperaceae";"Carex"
"452";"Poales";"Cyperaceae";"Carex"
"453";"Poales";"Cyperaceae";"Carex"
"454";"Poales";"Cyperaceae";"Carex"
"455";"Poales";"Cyperaceae";"Carex"
"456";"Poales";"Cyperaceae";"Carex"
"457";"Poales";"Cyperaceae";"Carex"
"458";"Poales";"Cyperaceae";"Carex"
"459";"Poales";"Cyperaceae";"Carex"
"460";"Poales";"Cyperaceae";"Carex"
"461";"Poales";"Cyperaceae";"Carex"
"462";"Poales";"Cyperaceae";"Carex"
"463";"Poales";"Cyperaceae";"Carex"
"464";"Poales";"Cyperaceae";"Carex"
"465";"Poales";"Cyperaceae";"Carex"
"466";"Poales";"Cyperaceae";"Carex"
"467";"Poales";"Cyperaceae";"Carex"
"468";"Poales";"Cyperaceae";"Carex"
"469";"Poales";"Cyperaceae";"Carex"
"470";"Poales";"Cyperaceae";"Carex"
"471";"Poales";"Cyperaceae";"Carex"
"472";"Poales";"Cyperaceae";"Carex"
"473";"Poales";"Cyperaceae";"Carex"
"474";"Poales";"Cyperaceae";"Carex"
"475";"Poales";"Cyperaceae";"Carex"
"476";"Poales";"Cyperaceae";"Carex"
"477";"Poales";"Cyperaceae";"Carex"
"478";"Poales";"Cyperaceae";"Carex"
"479";"Poales";"Cyperaceae";"Carex"
"480";"Poales";"Cyperaceae";"Carex"
"481";"Poales";"Cyperaceae";"Carex"
"482";"Poales";"Cyperaceae";"Carex"
"483";"Poales";"Cyperaceae";"Carex"
"484";"Poales";"Cyperaceae";"Carex"
"485";"Poales";"Cyperaceae";"Carex"
"486";"Poales";"Cyperaceae";"Carex"
"487";"Poales";"Cyperaceae";"Carex"
"488";"Poales";"Cyperaceae";"Carex"
"489";"Poales";"Cyperaceae";"Carex"
"490";"Poales";"Cyperaceae";"Carex"
"491";"Poales";"Cyperaceae";"Carex"
"492";"Poales";"Cyperaceae";"Carex"
"493";"Poales";"Cyperaceae";"Carex"
"494";"Poales";"Cyperaceae";"Carex"
"495";"Poales";"Cyperaceae";"Carex"
"496";"Poales";"Cyperaceae";"Carex"
"497";"Poales";"Cyperaceae";"Carex"
"498";"Poales";"Cyperaceae";"Carex"
"499";"Poales";"Cyperaceae";"Carex"
"500";"Poales";"Cyperaceae";"Carex"
"501";"Poales";"Cyperaceae";"Carex"
"502";"Poales";"Cyperaceae";"Carex"
"503";"Poales";"Cyperaceae";"Carex"
"504";"Poales";"Cyperaceae";"Carex"
"505";"Poales";"Cyperaceae";"Carex"
"506";"Poales";"Cyperaceae";"Carex"
"507";"Poales";"Cyperaceae";"Carex"
"508";"Poales";"Cyperaceae";"Carex"
"509";"Poales";"Cyperaceae";"Carex"
"510";"Poales";"Cyperaceae";"Carex"
"511";"Poales";"Cyperaceae";"Carex"
"512";"Poales";"Cyperaceae";"Carex"
"513";"Poales";"Cyperaceae";"Carex"
"514";"Poales";"Cyperaceae";"Carex"
"515";"Poales";"Cyperaceae";"Carex"
"516";"Poales";"Cyperaceae";"Carex"
"517";"Poales";"Cyperaceae";"Carex"
"518";"Poales";"Cyperaceae";"Carex"
"519";"Poales";"Cyperaceae";"Carex"
"520";"Poales";"Cyperaceae";"Carex"
"521";"Poales";"Cyperaceae";"Carex"
"522";"Poales";"Cyperaceae";"Carex"
"523";"Poales";"Cyperaceae";"Carex"
"524";"Poales";"Cyperaceae";"Carex"
"525";"Poales";"Cyperaceae";"Carex"
"526";"Poales";"Cyperaceae";"Carex"
"527";"Poales";"Cyperaceae";"Carex"
"528";"Poales";"Cyperaceae";"Carex"
"529";"Poales";"Cyperaceae";"Carex"
"530";"Poales";"Cyperaceae";"Carex"
"531";"Poales";"Cyperaceae";"Carex"
"532";"Poales";"Cyperaceae";"Carex"
"533";"Poales";"Cyperaceae";"Carex"
"534";"Poales";"Cyperaceae";"Carex"
"535";"Poales";"Cyperaceae";"Carex"
"536";"Poales";"Cyperaceae";"Carex"
"537";"Poales";"Cyperaceae";"Carex"
"538";"Poales";"Cyperaceae";"Carex"
"539";"Poales";"Cyperaceae";"Carex"
"540";"Poales";"Cyperaceae";"Carex"
"541";"Poales";"Cyperaceae";"Carex"
"542";"Poales";"Cyperaceae";"Carex"
"543";"Caryophyllales";"Caryophyllaceae";"Caryophyllaceae genus 2"
