kingdom;phylum;class;order;family;genus;kingdom;phylum;class;order;family;genus;eg;ee;mg;me;lg;le;total
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12897;Magnoliopsida family seq12897;Magnoliopsida genus seq12897;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12897;Magnoliopsida family seq12897;Magnoliopsida genus seq12897;0;0;0;350;0;0;350
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12934;Magnoliopsida family seq12934;Magnoliopsida genus seq12934;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12934;Magnoliopsida family seq12934;Magnoliopsida genus seq12934;0;0;0;290;0;0;290
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12944;Magnoliopsida family seq12944;Magnoliopsida genus seq12944;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12944;Magnoliopsida family seq12944;Magnoliopsida genus seq12944;0;0;0;0;0;215;215
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq13058;Magnoliopsida family seq13058;Magnoliopsida genus seq13058;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq13058;Magnoliopsida family seq13058;Magnoliopsida genus seq13058;0;0;325;0;0;0;325
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq13101;Magnoliopsida family seq13101;Magnoliopsida genus seq13101;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq13101;Magnoliopsida family seq13101;Magnoliopsida genus seq13101;0;0;257;0;0;0;257
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq13105;Magnoliopsida family seq13105;Magnoliopsida genus seq13105;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq13105;Magnoliopsida family seq13105;Magnoliopsida genus seq13105;0;0;347;0;0;0;347
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq13120;Magnoliopsida family seq13120;Magnoliopsida genus seq13120;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq13120;Magnoliopsida family seq13120;Magnoliopsida genus seq13120;122;0;0;0;0;0;122
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq13159;Magnoliopsida family seq13159;Magnoliopsida genus seq13159;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq13159;Magnoliopsida family seq13159;Magnoliopsida genus seq13159;69;0;0;0;0;0;69
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq14301;Magnoliopsida family seq14301;Magnoliopsida genus seq14301;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq14301;Magnoliopsida family seq14301;Magnoliopsida genus seq14301;0;0;323;0;0;0;323
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq14419;Magnoliopsida family seq14419;Magnoliopsida genus seq14419;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq14419;Magnoliopsida family seq14419;Magnoliopsida genus seq14419;0;0;245;0;0;0;245
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq14659;Magnoliopsida family seq14659;Magnoliopsida genus seq14659;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq14659;Magnoliopsida family seq14659;Magnoliopsida genus seq14659;0;0;0;0;0;109;109
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq2144;Magnoliopsida family seq2144;Magnoliopsida genus seq2144;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq2144;Magnoliopsida family seq2144;Magnoliopsida genus seq2144;0;0;2354;0;0;0;2354
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq2274;Magnoliopsida family seq2274;Magnoliopsida genus seq2274;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq2274;Magnoliopsida family seq2274;Magnoliopsida genus seq2274;0;0;2063;0;0;0;2063
Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;2151;25545;41698;1517;0;1412;72323
Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Populus;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Populus;72690;102;324;0;0;1981;75097
Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salicaceae genus seq17493;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salicaceae genus seq17493;0;0;241;0;0;0;241
Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salicaceae genus seq27786;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salicaceae genus seq27786;0;0;62;0;0;0;62
Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salicaceae genus seq28958;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salicaceae genus seq28958;0;0;78;0;0;0;78
Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salicaceae genus seq30493;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salicaceae genus seq30493;0;0;56;0;0;0;56
Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salicaceae genus seq31838;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salicaceae genus seq31838;0;0;73;0;0;0;73
Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;1955;160496;878123;77551;106335;202660;1427120
Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;0;1101;0;0;0;830;1931
Viridiplantae;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Tilia;Viridiplantae;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Tilia;0;5052;34930;29491;1002421;9705;1081599
Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Lythraceae;Lythrum;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Lythraceae;Lythrum;0;4355;356141;4706;0;28590;393792
Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Chamaenerion;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Chamaenerion;13382;31768;190471;75799;33696;8168;353284
Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Circaea;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Circaea;0;0;7036;109933;0;0;116969
Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;1908372;122191;222176;230188;20553;64079;2567559
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;232245;76679;33195;895817;16191;420683;1674810
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Cyperaceae genus 2;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Cyperaceae genus 2;0;0;0;1722;0;128;1850
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Cyperaceae genus 3;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Cyperaceae genus 3;58;943;0;11932;0;0;12933
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eleocharis;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eleocharis;0;0;7488;15778;0;30947;54213
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;0;1531;0;21540;0;0;23071
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Juncus;34911;4452;3913;32261;0;612;76149
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Luzula;2109;4424;0;2601;0;578;9712
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Agrostis;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Agrostis;107721;54242;27983;1275373;526721;1179549;3171589
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Alopecurus;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Alopecurus;0;1705;1050;13991;0;4613;21359
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Anthoxanthum;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Anthoxanthum;0;2603;320;1575;0;29804;34302
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Arrhenatherum;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Arrhenatherum;0;7783;0;1868;0;894;10545
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenella;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenella;0;38444;8643;52058;235;48330;147710
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenula;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenula;0;134;0;0;0;506;640
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Bromus;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Bromus;0;80;953;46022;243;766;48064
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Cynosurus;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Cynosurus;1441;0;942;39312;6095;3071;50861
