class;order;family;genus;januar.galloway;januar.exmoor;februar.galloway;februar.exmoor;marts.galloway;marts.exmoor;april.galloway;april.exmoor;maj.galloway;maj.exmoor;juni.galloway;juni.exmoor;juli.galloway;juli.exmoor;august.galloway;august.exmoor;september.galloway;september.exmoor;oktober.galloway;oktober.exmoor;november.galloway;november.exmoor;december.galloway;december.exmoor;total.reads
;;;Fagus;288357;119492;24575;216319;1481;61276;274769;135032;365978;1311533;405574;2186;643640;136171;97966;8505;9715;13721;435019;394871;25370;250;3978;0;4975778
;;;Quercus;2482685;2097601;2201011;1870510;1105571;704448;78712;190745;1176770;1210870;134604;766810;591595;1310702;116828;212661;2127772;2468043;2438141;2751844;2217676;1311791;1995523;1076784;32639697
;;Myricaceae;Myrica;0;0;0;0;0;0;0;0;0;0;0;0;0;76203;0;0;0;0;0;0;0;0;0;0;76203
;Gentianales;Rubiaceae;Galium;98;5186;0;0;4601;2569;1858;65;0;0;4386;27703;60036;38792;14579;14566;21342;29474;6464;4290;4058;517;5792;3565;249941
;Geraniales;Geraniaceae;Erodium;0;0;0;0;0;0;0;0;139;385;1805;0;0;0;0;0;0;612;0;0;0;0;0;0;2941
;;;Geranium;1320;1141;0;539;7036;1413;64728;130487;71534;42062;27435;52313;8362;23044;0;0;0;103;913;0;3003;130;1546;0;437109
;Lamiales;Lamiaceae;Glechoma;0;0;0;0;0;0;515;0;0;0;0;0;0;0;0;0;81;0;0;74;0;0;0;0;670
;;;Prunella;0;0;2359;0;0;0;0;0;0;0;0;1661;0;0;4982;3016;0;0;13169;0;855;0;0;0;26042
;;Oleaceae;Fraxinus;0;0;0;0;0;0;0;0;0;0;175;0;0;0;0;0;0;0;808;433;0;4671;0;19510;25597
;;Orobanchaceae;Melampyrum;0;0;0;0;0;0;0;0;0;0;178;1581;8589;64496;9960;3385;1149;0;0;0;0;0;0;0;89338
;;;Odontites;0;0;0;0;0;0;0;0;0;0;89;0;746;6005;1219;2090;0;0;0;0;0;0;0;0;10149
;;;Rhinanthus;0;0;0;0;0;0;0;0;0;0;0;0;774;9648;0;0;0;0;0;0;0;0;0;0;10422
